numero,page,texte,lien
0836.157.420,1,"15) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 27.09.2014, GGK 15.03.2015, NGL 26.03.2015 15071-0587-025 2015-03-30 / 0043230",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=14&btw=836157420
0836.157.420,1,"15) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 27.09.2014, GGK 15.03.2015, NGL 26.03.2015 15071-0587-025 2015-03-30 / 0043230 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=14&btw=836157420
0836.157.420,1,"16) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 28.09.2013, GGK 15.03.2014, NGL 20.03.2014 14071-0086-026 2014-03-27 / 0042907",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=15&btw=836157420
0836.157.420,1,"16) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 28.09.2013, GGK 15.03.2014, NGL 20.03.2014 14071-0086-026 2014-03-27 / 0042907 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=15&btw=836157420
0836.157.420,1,"17) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2013-04-12 / 0057359 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=16&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2013-04-12 / 0057359 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2013/04/12/13057359.pdf
0836.157.420,1,"17) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2013-04-12 / 0057359 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=16&btw=836157420
0836.157.420,1,"18) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 29.09.2012, GGK 15.03.2013, NGL 29.03.2013 13076-0283-025 2013-04-05 / 0046866",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=17&btw=836157420
0836.157.420,1,"18) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 29.09.2012, GGK 15.03.2013, NGL 29.03.2013 13076-0283-025 2013-04-05 / 0046866 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=17&btw=836157420
0836.157.420,1,"19) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ALGEMENE VERGADERING 2013-02-20 / 0030313 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=18&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ALGEMENE VERGADERING 2013-02-20 / 0030313 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2013/02/20/13030313.pdf
