numero,page,texte,lien
0878.065.378,1,"15) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2018-08-09 / 0123652 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=14&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2018-08-09 / 0123652 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2018/08/09/18123652.pdf
0878.065.378,1,"15) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2018-08-09 / 0123652 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=14&btw=878065378
0878.065.378,1,"16) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163587 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=15&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163587 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/11/23/17163587.pdf
0878.065.378,1,"16) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163587 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=15&btw=878065378
0878.065.378,1,"17) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163588 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=16&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163588 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/11/23/17163588.pdf
0878.065.378,1,"17) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163588 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=16&btw=878065378
0878.065.378,1,"18) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-01-06 / 0003705 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=17&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-01-06 / 0003705 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/01/06/17003705.pdf
